"State","Date","Day","Confirmed.Indians","Confirmed.Foreigners","Total.Confirmed","Deaths","Recovered","Active.Cases","Closed.Cases","Death.Rate"
"Rajasthan","06/02/2020",7,0,0,0,0,0,0,0,0
"Tamil Nadu","06/02/2020",7,0,0,0,0,0,0,0,0
"Telengana","06/02/2020",7,0,0,0,0,0,0,0,0
"Uttar Pradesh","06/02/2020",7,0,0,0,0,0,0,0,0
"Uttarakhand","06/02/2020",7,0,0,0,0,0,0,0,0
"West Bengal","06/02/2020",7,0,0,0,0,0,0,0,0
"Andaman and Nicobar Islands","07/02/2020",8,0,0,0,0,0,0,0,0
"Andhra Pradesh","07/02/2020",8,0,0,0,0,0,0,0,0
"Bihar","07/02/2020",8,0,0,0,0,0,0,0,0
"Chandigarh","07/02/2020",8,0,0,0,0,0,0,0,0
"Chhattisgarh","07/02/2020",8,0,0,0,0,0,0,0,0
"Delhi","07/02/2020",8,0,0,0,0,0,0,0,0
"Goa","07/02/2020",8,0,0,0,0,0,0,0,0
"Gujarat","07/02/2020",8,0,0,0,0,0,0,0,0
"Haryana","07/02/2020",8,0,0,0,0,0,0,0,0
"Himachal Pradesh","07/02/2020",8,0,0,0,0,0,0,0,0
"Jammu and Kashmir","07/02/2020",8,0,0,0,0,0,0,0,0
"Karnataka","07/02/2020",8,0,0,0,0,0,0,0,0
"Kerala","07/02/2020",8,3,0,3,0,0,3,0,0
"Ladakh","07/02/2020",8,0,0,0,0,0,0,0,0
"Madhya Pradesh","07/02/2020",8,0,0,0,0,0,0,0,0
"Maharashtra","07/02/2020",8,0,0,0,0,0,0,0,0
"Manipur","07/02/2020",8,0,0,0,0,0,0,0,0
"Mizoram","07/02/2020",8,0,0,0,0,0,0,0,0
"Odisha","07/02/2020",8,0,0,0,0,0,0,0,0
"Puducherry","07/02/2020",8,0,0,0,0,0,0,0,0
"Punjab","07/02/2020",8,0,0,0,0,0,0,0,0
"Rajasthan","07/02/2020",8,0,0,0,0,0,0,0,0
"Tamil Nadu","07/02/2020",8,0,0,0,0,0,0,0,0
"Telengana","07/02/2020",8,0,0,0,0,0,0,0,0
"Uttar Pradesh","07/02/2020",8,0,0,0,0,0,0,0,0
"Uttarakhand","07/02/2020",8,0,0,0,0,0,0,0,0
"West Bengal","07/02/2020",8,0,0,0,0,0,0,0,0
"Andaman and Nicobar Islands","08/02/2020",9,0,0,0,0,0,0,0,0
"Andhra Pradesh","08/02/2020",9,0,0,0,0,0,0,0,0
"Bihar","08/02/2020",9,0,0,0,0,0,0,0,0
"Chandigarh","08/02/2020",9,0,0,0,0,0,0,0,0
"Chhattisgarh","08/02/2020",9,0,0,0,0,0,0,0,0
"Delhi","08/02/2020",9,0,0,0,0,0,0,0,0
"Goa","08/02/2020",9,0,0,0,0,0,0,0,0
"Gujarat","08/02/2020",9,0,0,0,0,0,0,0,0
"Haryana","08/02/2020",9,0,0,0,0,0,0,0,0
"Himachal Pradesh","08/02/2020",9,0,0,0,0,0,0,0,0
